complex_no	pyeong_no
102701	1
102701	2
102702	1
102702	2
102702	3
102703	1
102703	2
102703	3
102703	4
102703	5
102703	6
102703	8
102704	1
102704	2
102704	3
102704	4
102704	5
102705	1
102705	2
102705	3
102705	4
102705	5
102705	6
102706	1
102706	10
102706	11
102706	12
102706	13
102706	14
102706	15
102706	16
102706	17
102706	18
102706	2
102706	3
102706	4
102706	5
102706	6
102706	7
102706	8
102706	9
102707	1
102707	2
102707	3
102707	4
10271	1
10271	10
10271	11
10271	12
10271	2
10271	3
10271	4
10271	5
10271	6
10271	7
10271	8
10271	9
102710	1
102710	2
102710	3
102710	4
102710	5
102710	6
102711	1
102711	2
102711	3
102711	4
102712	1
102712	2
102712	3
102713	1
102713	2
102713	3
102713	4
102713	5
102713	6
102713	7
102713	8
102714	1
102714	2
102714	3
102714	4
102714	5
102715	1
102715	2
102715	3
102715	4
102715	5
102715	6
102719	1
102719	2
102719	3
102719	4
102719	5
102719	6
10272	1
102720	1
102720	2
102720	3
102721	1
102721	2
102721	3
102721	4
102723	1
102724	1
102724	2
102724	3
102724	4
102724	5
102724	6
102724	7
102724	8
102724	9
102725	1
102725	2
102725	3
102725	4
102725	5
102725	6
102725	7
102726	1
102726	2
102727	1
102727	2
102728	1
102728	2
102728	3
102728	4
102728	5
102728	6
102728	7
102728	8
102729	1
102730	1
102730	2
102732	1
102733	1
102733	10
102733	11
102733	2
102733	3
102733	4
102733	5
102733	6
102733	7
102733	8
102733	9
102734	1
102734	2
102736	4
102736	5
102736	6
102737	18
102737	19
102737	21
102737	23
102737	25
102737	26
102737	27
102737	28
102737	29
102737	30
102737	31
102737	5
102737	7
102738	1
102738	2
102738	3
102739	1
102739	2
10274	1
10274	10
10274	11
10274	12
10274	13
10274	14
10274	15
10274	16
10274	2
10274	3
10274	4
10274	5
10274	6
10274	7
10274	8
10274	9
102740	2
102740	4
102741	1
102741	2
102742	1
102743	1
102743	2
102743	3
102743	4
102744	1
102744	2
102744	3
102744	4
102744	5
102744	6
102745	1
102745	2
102745	3
102745	4
102745	5
102746	5
102746	6
102746	7
102747	1
102747	2
102747	3
102748	1
102748	2
102748	3
102748	4
102749	1
102749	2
102749	3
102749	4
102749	5
102749	6
102749	7
102749	8
10275	1
10275	2
10275	3
10275	4
102750	1
102751	1
102751	2
102751	3
102751	4
102751	5
102751	6
102751	7
102751	8
102752	2
102752	3
102752	4
102752	5
102752	6
102752	7
102752	8
